frase,situacao
cansaço repentina no peito à noite,baixo risco
Apresentei moderada fraqueza associada a calafrio no abdômen,baixo risco
Sinto inchaço com inquietação na coluna após esforço,alto risco
Sensação de dor abdominal forte de manhã,baixo risco
Tenho forte febre na coluna ao acordar,baixo risco
Tenho forte calafrio nos pés após comer,alto risco
Tenho intermitente fraqueza no peito ao acordar,baixo risco
Sensação de cansaço leve durante o repouso,alto risco
Sinto falta de ar com rigidez muscular nos braços há 2 dias,baixo risco
Apresentei leve dor abdominal com formigamento nos olhos,baixo risco
Apresentei forte dor junto com dor abdominal na coluna,baixo risco
Tenho forte dor no peito à noite,alto risco
tosse contínua nos olhos há 2 dias,alto risco
Tenho repentina inchaço na coluna ao levantar,baixo risco
Sinto dor associada a palpitação na lombar durante a noite,alto risco
Apresentei contínua dor abdominal associada a dor abdominal no peito,baixo risco
Tenho leve perda de equilíbrio nos braços após esforço,baixo risco
Tenho contínua coceira na lombar durante o repouso,alto risco
Apresentei persistente palpitação junto com inchaço na coluna,alto risco
Sinto tosse seguida de suor excessivo nos pés de manhã,baixo risco
Sinto palpitação e rigidez muscular nos pés após comer,baixo risco
Sinto febre junto com dor no peito nas costas após comer,baixo risco
fraqueza persistente na garganta após comer,baixo risco
Sinto perda de visão associada a calafrio nas mãos à noite,baixo risco
Tenho intensa inchaço na lombar durante a noite,alto risco
Tenho repentina rigidez muscular na coluna há 2 dias,baixo risco
Sensação de febre intermitente de manhã,alto risco
Tenho repentina perda de equilíbrio nos braços ao acordar,baixo risco
Sensação de dor abdominal intermitente ao acordar,alto risco
Sensação de perda de equilíbrio intensa há uma semana,baixo risco
Sensação de dor aguda ao levantar,alto risco
Apresentei intensa formigamento e inchaço no peito,baixo risco
Apresentei crônica dor de cabeça junto com náusea na cabeça,alto risco
náusea aguda nas costas durante o repouso,alto risco
Apresentei intensa perda de equilíbrio com dor de cabeça nas costas,baixo risco
Sinto formigamento com formigamento no peito há uma semana,alto risco
Apresentei moderada formigamento com rigidez muscular na coluna,baixo risco
Tenho contínua suor excessivo nos pés à noite,baixo risco
Sinto dor abdominal com rigidez muscular na garganta durante o repouso,baixo risco
Sinto coceira com tosse na coluna após comer,baixo risco
Apresentei intensa desconforto associada a coceira no peito,baixo risco
Tenho leve tosse na lombar durante o repouso,baixo risco
Apresentei repentina cansaço junto com dor abdominal na coluna,alto risco
Sinto coceira e inquietação na cabeça ao levantar,baixo risco
Tenho intensa cansaço nos braços à noite,baixo risco
Tenho repentina coceira nos braços durante o repouso,alto risco
dor abdominal forte nos braços à noite,baixo risco
Sensação de dor leve de manhã,alto risco
inquietação leve na lombar ao acordar,baixo risco
Sinto perda de visão com formigamento no abdômen após esforço,baixo risco
Sinto palpitação associada a confusão mental na coluna ao levantar,baixo risco
Apresentei repentina palpitação e desconforto na coluna,alto risco
Apresentei repentina cansaço com desconforto nas costas,baixo risco
Apresentei repentina rigidez muscular seguida de tosse nas mãos,baixo risco
Apresentei forte palpitação e fraqueza na coluna,baixo risco
Sinto coceira associada a inquietação na cabeça há uma semana,alto risco
Sinto dor de cabeça e dor nos braços há 2 dias,alto risco
Apresentei aguda tosse junto com cansaço nas pernas,baixo risco
Apresentei moderada perda de equilíbrio com dor na coluna,alto risco
suor excessivo aguda nas mãos durante a noite,baixo risco
Tenho repentina tosse no peito durante o repouso,alto risco
náusea repentina na garganta há 2 dias,baixo risco
Sinto inquietação com dor no peito nos olhos durante a noite,baixo risco
Apresentei leve fraqueza com palpitação nas costas,baixo risco
Apresentei intensa náusea junto com fraqueza na garganta,baixo risco
palpitação leve nos olhos há 2 dias,baixo risco
Tenho leve náusea nos pés há 2 dias,baixo risco
confusão mental repentina nos pés há uma semana,baixo risco
Sensação de perda de equilíbrio contínua há uma semana,alto risco
confusão mental intermitente nas pernas após comer,alto risco
Sinto inchaço com dor no peito há 2 dias,alto risco
Apresentei aguda formigamento seguida de palpitação na cabeça,baixo risco
Apresentei repentina desconforto com calafrio na cabeça,alto risco
Sinto tontura junto com coceira nas costas há 2 dias,baixo risco
Sinto formigamento junto com dor abdominal na garganta ao levantar,alto risco
dor abdominal crônica nas costas durante a noite,alto risco
Tenho leve tosse nos olhos há 2 dias,alto risco
Sinto inchaço com tosse nas mãos de manhã,baixo risco
Apresentei intensa cansaço seguida de calafrio nos pés,alto risco
inchaço intermitente no abdômen há uma semana,baixo risco
Apresentei intensa dor no peito com náusea na lombar,alto risco
Tenho repentina fraqueza nos olhos após esforço,baixo risco
Tenho persistente calafrio na garganta ao levantar,baixo risco
perda de visão forte nas costas à noite,alto risco
Sinto palpitação junto com fraqueza nos braços durante o repouso,alto risco
Sinto dor no peito com formigamento nos pés há uma semana,baixo risco
Tenho leve aperto nas costas após comer,baixo risco
Tenho forte tosse nos braços após comer,baixo risco
Sinto náusea associada a formigamento nas costas de manhã,baixo risco
Sensação de formigamento forte há uma semana,baixo risco
Sensação de perda de visão crônica ao acordar,baixo risco
Apresentei contínua formigamento e dor no peito na lombar,baixo risco
Sinto coceira e rigidez muscular no peito após comer,baixo risco
inchaço forte na lombar ao levantar,baixo risco
calafrio forte nos pés de manhã,baixo risco
Tenho leve coceira nas mãos de manhã,baixo risco
Sinto febre com calafrio na coluna há 2 dias,baixo risco
Apresentei repentina dor de cabeça com palpitação na lombar,baixo risco
Apresentei leve aperto junto com dor nos olhos,alto risco
Tenho intensa dor nas pernas após esforço,baixo risco
Apresentei repentina inquietação seguida de confusão mental nos pés,baixo risco
náusea repentina nas pernas após comer,alto risco
Tenho aguda palpitação na cabeça há 2 dias,alto risco
tontura forte nas pernas durante a noite,baixo risco
Apresentei intensa formigamento junto com formigamento nos braços,baixo risco
Sensação de calafrio persistente ao acordar,alto risco
Apresentei intermitente tontura seguida de dor na coluna,baixo risco
palpitação leve nos pés à noite,alto risco
Sensação de perda de visão crônica há uma semana,alto risco
Sinto calafrio associada a suor excessivo na lombar durante a noite,baixo risco
Apresentei forte rigidez muscular junto com tosse na lombar,baixo risco
Sinto suor excessivo e febre nas pernas à noite,baixo risco
Sinto falta de ar junto com inchaço na coluna durante o repouso,alto risco
rigidez muscular leve nas costas há uma semana,baixo risco
Apresentei moderada dor e dor de cabeça nos braços,baixo risco
Apresentei repentina palpitação seguida de perda de visão no abdômen,baixo risco
Apresentei repentina rigidez muscular associada a falta de ar nos pés,baixo risco
náusea persistente nas costas ao acordar,alto risco
perda de equilíbrio moderada no peito durante o repouso,alto risco
desconforto intermitente na lombar ao acordar,alto risco
Tenho repentina perda de visão na coluna há uma semana,alto risco
Sinto calafrio junto com fraqueza no abdômen durante a noite,alto risco
Sinto dor no peito e confusão mental nas costas de manhã,alto risco
Apresentei intermitente dor seguida de febre na garganta,baixo risco
Sinto formigamento e tontura no peito à noite,alto risco
Sinto suor excessivo com inchaço no peito ao acordar,alto risco
Tenho intensa tosse na coluna durante a noite,alto risco
Sensação de dor intensa há uma semana,baixo risco
Sinto formigamento e perda de equilíbrio nas mãos à noite,alto risco
Tenho leve aperto no peito ao levantar,baixo risco
Sensação de perda de visão persistente há 2 dias,baixo risco
palpitação aguda nas mãos à noite,baixo risco
Sensação de dor no peito repentina durante a noite,baixo risco
Apresentei contínua náusea seguida de febre no peito,alto risco
dor de cabeça moderada nos braços há 2 dias,baixo risco
Apresentei persistente dor e inquietação na garganta,alto risco
Apresentei contínua falta de ar e cansaço nos braços,baixo risco
Tenho intensa desconforto no abdômen à noite,alto risco
Sensação de formigamento persistente ao acordar,baixo risco
tosse forte na coluna de manhã,baixo risco
perda de visão leve nos braços de manhã,baixo risco
Tenho crônica confusão mental nas pernas há uma semana,alto risco
Sensação de rigidez muscular contínua ao acordar,baixo risco
Sensação de febre moderada durante a noite,baixo risco
Apresentei intensa tontura e tosse na coluna,baixo risco
Apresentei aguda coceira seguida de coceira na lombar,alto risco
Sinto tosse e suor excessivo nas mãos há 2 dias,alto risco
Sensação de aperto intensa durante o repouso,alto risco
Apresentei crônica dor abdominal e calafrio na lombar,alto risco
Apresentei moderada tosse junto com dor abdominal nas pernas,baixo risco
Sensação de calafrio leve à noite,alto risco
suor excessivo repentina na coluna ao levantar,baixo risco
Tenho intermitente febre no peito ao acordar,alto risco
Tenho intensa inchaço nas mãos durante a noite,baixo risco
Apresentei repentina fraqueza e desconforto na cabeça,baixo risco
Sensação de perda de equilíbrio intensa à noite,alto risco
Tenho aguda falta de ar nos pés de manhã,baixo risco
Apresentei persistente suor excessivo associada a dor no peito nas costas,alto risco
cansaço moderada nos pés ao acordar,baixo risco
formigamento aguda na lombar ao levantar,baixo risco
Sinto tontura e tontura nas mãos após comer,alto risco
Apresentei intensa dor abdominal e confusão mental nas costas,baixo risco
febre forte nos pés de manhã,baixo risco
Sensação de dor no peito crônica ao acordar,baixo risco
Apresentei intermitente tontura e dor abdominal nos olhos,alto risco
cansaço crônica no abdômen durante o repouso,alto risco
Apresentei forte dor abdominal junto com dor abdominal nos braços,baixo risco
calafrio forte na cabeça durante a noite,baixo risco
Apresentei crônica inchaço seguida de náusea na coluna,baixo risco
Sinto dor no peito associada a perda de equilíbrio nos pés há uma semana,alto risco
Sensação de dor moderada há 2 dias,baixo risco
Apresentei moderada suor excessivo associada a perda de equilíbrio nos braços,alto risco
Apresentei contínua aperto e formigamento no abdômen,baixo risco
confusão mental crônica nos braços à noite,baixo risco
Apresentei aguda palpitação seguida de perda de visão nos braços,baixo risco
Apresentei repentina dor abdominal seguida de suor excessivo nos braços,baixo risco
Sensação de aperto moderada após comer,alto risco
Sinto confusão mental com dor de cabeça nos olhos ao acordar,baixo risco
Sinto coceira com formigamento no abdômen de manhã,alto risco
Sensação de falta de ar crônica de manhã,alto risco
Apresentei aguda rigidez muscular com tosse nas pernas,alto risco
Apresentei forte inquietação e inquietação nas pernas,baixo risco
Apresentei forte perda de equilíbrio com calafrio nas costas,alto risco
palpitação intensa na lombar de manhã,baixo risco
dor no peito aguda nos pés de manhã,alto risco
